"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"preço",0,0,0,0,0,0,0,0,0,0
"do",0,0,0,0,0,0,0,0,0,0
"botijão",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"gás",0,0,0,0,0,0,0,0,0,0
"sofre",0,0,0,0,0,0,0,0,0,0
"reajuste",0,0,0,0,0,0,0,0,0,0
"a",0,0,0,0,0,0,0,0,0,0
"partir",0,0,0,0,0,0,0,0,0,0
"desta",0,0,0,0,0,0,0,0,0,0
"segunda",0,0,0,0,0,0,0,0,0,0
"1º",0,0,0,0,0,0,0,0,0,0
"quais",0,0,0,0,0,0,0,0,0,0
"profissões",0,0,0,0,0,0,0,0,0,0
"podem",0,0,0,0,0,0,0,0,0,0
"ser",0,0,0,0,0,0,0,0,0,0
"extintas",0,0,0,0,0,0,0,0,0,0
"ou",0,0,0,0,0,0,0,0,0,0
"criadas",0,0,0,0,0,0,0,0,0,0
"por",0,0,0,0,0,0,0,0,0,0
"causa",0,0,0,0,0,0,0,0,0,0
"da",0,0,0,0,0,0,0,0,0,0
"inteligência",0,0,0,0,0,0,0,0,0,0
"artificial",0,0,0,0,0,0,0,0,0,0
"chatgpt",0,0,0,0,0,0,0,0,0,0
"responde",0,0,0,0,0,0,0,0,0,0
"justiça",0,0,0,0,0,0,0,0,0,0
"determina",0,0,0,0,0,0,0,0,0,0
"proibição",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"corrida",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"jegues",0,0,0,0,0,0,0,0,0,0
"por",0,0,0,0,0,0,0,0,0,0
"suspeita",0,0,0,1,0,0,0,0,1,0
"de",0,0,0,0,0,0,0,0,0,0
"maus",0,0,0,0,0,0,0,0,0,0
"tratos",0,0,0,0,0,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0
"trabalho",0,1,0,0,1,0,1,1,0,2
"infantil",1,1,1,1,1,0,1,0,2,1
"bolsa",0,0,0,0,0,0,0,0,0,0
"família",0,0,0,0,0,0,0,0,0,0
"2023",0,0,0,0,0,0,0,0,0,0
"veja",0,0,0,0,0,0,0,0,0,0
"data",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"pagamento",0,0,0,0,0,0,0,0,1,0
"no",0,0,0,0,0,0,0,0,0,0
"mês",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"maio",0,0,0,0,0,0,0,0,0,0
"veja",0,0,0,0,0,0,0,0,0,0
"as",0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0
"vagas",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"emprego",0,0,0,0,0,0,0,0,0,0
"disponíveis",0,0,0,0,0,0,0,0,0,0
"no",0,0,0,0,0,0,0,0,0,0
"sine",0,0,0,0,0,0,0,0,0,0
"esta",0,0,0,0,0,0,0,0,0,0
"semana",0,0,0,0,0,0,0,0,0,0
"série",0,0,0,0,0,0,0,0,0,0
